Row," ID",Table,Description,Phân loại chiến lược,Lý do chi tiết,Special,Missing_Rate,Data_Type,Unique_Count,IV_Score,Feature_Importance_Baseline
FLAG_MOBIL,25,application_{train|test}.csv,"Did client provide mobile phone (1=YES, 0=NO)",Remove,"Cờ cho biết khách hàng có cung cấp số điện thoại di động không. Hầu như 100% bản ghi đều có giá trị bằng 1, không có tính phân tách thông tin (zero variance).",,,,,,
FLAG_EMP_PHONE,26,application_{train|test}.csv,"Did client provide work phone (1=YES, 0=NO)",Watched List,"Cờ thông tin liên lạc bổ sung, giúp đánh giá tính xác thực của hồ sơ hoặc khả năng liên lạc khi thu hồi nợ.",,,,,,
FLAG_WORK_PHONE,27,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)",Watched List,"Cờ thông tin liên lạc bổ sung, giúp đánh giá tính xác thực của hồ sơ hoặc khả năng liên lạc khi thu hồi nợ.",,,,,,
FLAG_CONT_MOBILE,28,application_{train|test}.csv,"Was mobile phone reachable (1=YES, 0=NO)",Watched List,"Cờ thông tin liên lạc bổ sung, giúp đánh giá tính xác thực của hồ sơ hoặc khả năng liên lạc khi thu hồi nợ.",,,,,,
FLAG_PHONE,29,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)",Watched List,"Cờ thông tin liên lạc bổ sung, giúp đánh giá tính xác thực của hồ sơ hoặc khả năng liên lạc khi thu hồi nợ.",,,,,,
FLAG_EMAIL,30,application_{train|test}.csv,"Did client provide email (1=YES, 0=NO)",Watched List,"Cờ thông tin liên lạc bổ sung, giúp đánh giá tính xác thực của hồ sơ hoặc khả năng liên lạc khi thu hồi nợ.",,,,,,
OCCUPATION_TYPE,31,application_{train|test}.csv,What kind of occupation does the client have,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
CNT_FAM_MEMBERS,32,application_{train|test}.csv,How many family members does client have,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
REGION_RATING_CLIENT,33,application_{train|test}.csv,"Our rating of the region where client lives (1,2,3)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
REGION_RATING_CLIENT_W_CITY,34,application_{train|test}.csv,"Our rating of the region where client lives with taking city into account (1,2,3)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
WEEKDAY_APPR_PROCESS_START,35,application_{train|test}.csv,On which day of the week did the client apply for the loan,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
HOUR_APPR_PROCESS_START,36,application_{train|test}.csv,Approximately at what hour did the client apply for the loan,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",rounded,,,,,
REG_REGION_NOT_LIVE_REGION,37,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
REG_REGION_NOT_WORK_REGION,38,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
LIVE_REGION_NOT_WORK_REGION,39,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
REG_CITY_NOT_LIVE_CITY,40,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
REG_CITY_NOT_WORK_CITY,41,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
LIVE_CITY_NOT_WORK_CITY,42,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
ORGANIZATION_TYPE,43,application_{train|test}.csv,Type of organization where client works,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
EXT_SOURCE_1,44,application_{train|test}.csv,Normalized score from external data source,Keep(100%),"Điểm số tín dụng chuẩn hóa từ nguồn dữ liệu bên ngoài, có sức mạnh dự báo rủi ro cao nhất trong bộ dữ liệu.",normalized,,,,,
EXT_SOURCE_2,45,application_{train|test}.csv,Normalized score from external data source,Keep(100%),"Điểm số tín dụng chuẩn hóa từ nguồn dữ liệu bên ngoài, có sức mạnh dự báo rủi ro cao nhất trong bộ dữ liệu.",normalized,,,,,
EXT_SOURCE_3,46,application_{train|test}.csv,Normalized score from external data source,Keep(100%),"Điểm số tín dụng chuẩn hóa từ nguồn dữ liệu bên ngoài, có sức mạnh dự báo rủi ro cao nhất trong bộ dữ liệu.",normalized,,,,,
APARTMENTS_AVG,47,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
BASEMENTAREA_AVG,48,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BEGINEXPLUATATION_AVG,49,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BUILD_AVG,50,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
COMMONAREA_AVG,51,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
ELEVATORS_AVG,52,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
ENTRANCES_AVG,53,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMAX_AVG,54,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMIN_AVG,55,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LANDAREA_AVG,56,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAPARTMENTS_AVG,57,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAREA_AVG,58,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAPARTMENTS_AVG,59,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAREA_AVG,60,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
APARTMENTS_MODE,61,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
BASEMENTAREA_MODE,62,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BEGINEXPLUATATION_MODE,63,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BUILD_MODE,64,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
COMMONAREA_MODE,65,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
ELEVATORS_MODE,66,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
ENTRANCES_MODE,67,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMAX_MODE,68,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMIN_MODE,69,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LANDAREA_MODE,70,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAPARTMENTS_MODE,71,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAREA_MODE,72,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAPARTMENTS_MODE,73,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAREA_MODE,74,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
APARTMENTS_MEDI,75,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
BASEMENTAREA_MEDI,76,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BEGINEXPLUATATION_MEDI,77,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
YEARS_BUILD_MEDI,78,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
COMMONAREA_MEDI,79,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
ELEVATORS_MEDI,80,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
